Rating,Res_Rating,TO,SEASON
80,21,Feyenoord,08/09
81,20,Dinamo Bucuresti,08/09
82,19,AEK Athens,08/09
83,18,Slavia Praha,08/09
84,17,AS Saint-Étienne,08/09
85,16,AS Nancy Lorraine,08/09
86,15,AaB Aalborg,08/09
87,14,Metalist Kharkiv,08/09
88,13,Dnipro Dnipropetrovsk,08/09
89,12,Levski Sofia,08/09
90,11,RC Strasbourg,08/09
91,10,Aston Villa,08/09
92,9,Athletic Bilbao,08/09
93,8,Partizan Belgrade,08/09
94,7,Racing Santander,08/09
95,6,FC Sochaux-Montbéliard,08/09
96,5,Portsmouth FC,08/09
97,4,VfL Wolfsburg,08/09
98,3,Standard Liège,08/09
99,2,Livorno,08/09
100,1,Alemannia Aachen,08/09
1,100,Chelsea,07/08
2,99,AC Milan,07/08
3,98,Liverpool,07/08
4,97,FC Barcelona,07/08
5,96,Arsenal,07/08
6,95,Manchester United,07/08
7,94,Sevilla,07/08
8,93,Olympique Lyon,07/08
9,92,Internazionale,07/08
10,91,Real Madrid,07/08
11,90,Bayern München,07/08
12,89,PSV Eindhoven,07/08
13,88,Villarreal,07/08
14,87,Newcastle United,07/08
15,86,Valencia,07/08
16,85,AS Roma,07/08
17,84,FC Porto,07/08
18,83,Benfica,07/08
19,82,Werder Bremen,07/08
20,81,AZ Alkmaar,07/08
21,80,Sporting CP Lisbon,07/08
22,79,Schalke 04,07/08
23,78,Juventus,07/08
24,77,Glasgow Rangers,07/08
25,76,Olympique Marseille,07/08
26,75,Espanyol,07/08
27,74,Zenit St. Petersburg,07/08
28,73,CSKA Moscow,07/08
29,72,Steaua Bucuresti,07/08
30,71,AS Monaco,07/08
31,70,Middlesbrough,07/08
32,69,Bayer Leverkusen,07/08
33,68,Tottenham Hotspur,07/08
34,67,AC Parma,07/08
35,66,Lille OSC,07/08
36,65,AJ Auxerre,07/08
37,64,Panathinaikos,07/08
38,63,Girondins Bordeaux,07/08
39,62,Hamburger SV,07/08
40,61,VfB Stuttgart,07/08
41,60,Celtic,07/08
42,59,FC Basel,07/08
43,58,Ajax,07/08
44,57,Olympiakos Piraeus,07/08
45,56,Fenerbahçe,07/08
46,55,Shakhtar Donetsk,07/08
47,54,Bolton Wanderers,07/08
48,53,Osasuna,07/08
49,52,Deportivo La Coruña,07/08
50,51,Everton,07/08
51,50,Celta de Vigo,07/08
52,49,RC Lens,07/08
53,48,Palermo,07/08
54,47,Getafe,07/08
55,46,Real Zaragoza,07/08
56,45,Anderlecht,07/08
57,44,Club Brugge,07/08
58,43,Rapid Bucuresti,07/08
59,42,Fiorentina,07/08
60,41,Besiktas,07/08
61,40,Spartak Moscow,07/08
62,39,Lokomotiv Moscow,07/08
63,38,Blackburn Rovers,07/08
64,37,Lazio,07/08
65,36,FC Sochaux-Montbéliard,07/08
66,35,Paris Saint-Germain,07/08
67,34,Atlético Madrid,07/08
68,33,Sparta Praha,07/08
69,32,Dinamo Bucuresti,07/08
70,31,Real Betis,07/08
71,30,Heerenveen,07/08
72,29,Rosenborg BK,07/08
73,28,Udinese,07/08
74,27,Dinamo Kiev,07/08
75,26,Athletic Bilbao,07/08
76,25,Real Mallorca,07/08
77,24,Feyenoord,07/08
78,23,Sporting Braga,07/08
79,22,Real Sociedad,07/08
80,21,Levski Sofia,07/08
81,20,Dnipro Dnipropetrovsk,07/08
82,19,Austria Wien,07/08
83,18,AEK Athens,07/08
84,17,Slavia Praha,07/08
85,16,RC Strasbourg,07/08
86,15,Manchester City,07/08
87,14,Galatasaray,07/08
88,13,Sampdoria,07/08
89,12,Livorno,07/08
90,11,Perugia,07/08
91,10,Hertha BSC,07/08
92,9,Millwall FC,07/08
93,8,Southampton FC,07/08
94,7,Partizan Belgrade,07/08
95,6,AS Nancy Lorraine,07/08
96,5,Alemannia Aachen,07/08
97,4,Stade Rennais,07/08
98,3,1.FC Nürnberg,07/08
99,2,FC København,07/08
100,1,Gençlerbirligi,07/08
