"PLAYER","WINDOW","POSITION","COUNTRY","FROM","TO","DESCRIPTION","PRICE","LEAGUE","SEASON"
"Paul Pogba","Pre-Season","Midfielder","France","Juventus","Manchester United","Sold",105000000,"EPL","16/17"
"Gareth Bale","Pre-Season","Midfielder","Wales","Tottenham","Real Madrid","Sold",100000000,"La Liga","13/14"
"Luis Suarez","Pre-Season","Attacker","Uruguay","Liverpool","Barcelona","Sold",95000000,"La Liga","14/15"
"Ronaldo","Pre-Season",NA,NA,"Manchester United","Real Madrid","Sold",93900000,"La Liga","09/10"
"Gonzalo Higuain","Pre-Season","Attacker","Argentina","Napoli","Juventus","Sold",90000000,"Serie A","16/17"
"James Rodriguez","Pre-Season","Midfielder","Colombia","Monaco","Real Madrid","Sold",80000000,"La Liga","14/15"
"Kevin De Bruyne","Pre-Season","Midfielder","Belgium","Wolfsburg","Manchester City","Sold",76000000,"EPL","15/16"
"Angel Di Maria","Pre-Season","Midfielder","Argentina","Real Madrid","Manchester United","Sold",75000000,"EPL","14/15"
"Raheem Sterling","Pre-Season","Midfielder","England","Liverpool","Manchester City","Sold",69400000,"EPL","15/16"
"Zlatan Ibrahimovic","Pre-Season",NA,NA,"Inter Milan","Barcelona","Sold",69000000,"La Liga","09/10"
"Kaka","Pre-Season",NA,NA,"AC Milan","Real Madrid","Sold",68400000,"La Liga","09/10"
"Edinson Cavani","Pre-Season","Attacker","Uruguay","Napoli","PSG","Sold",64500000,"ROE","13/14"
"Angel di Maria","Pre-Season","Midfielder","Argentina","Manchester United","PSG","Sold",63000000,"ROE","15/16"
"Radamel Falcao","Pre-Season","Attacker","Colombia","Atletico Madrid","Monaco","Sold",60000000,"ROE","13/14"
"Fernando Torres","Mid-Season",NA,"Spain","Liverpool","Chelsea","Sold",58400000,"EPL","10/11"
"Neymar","Pre-Season","Attacker","Brazil","Santos","Barcelona","Sold",57000000,"La Liga","13/14"
"John Stones","Pre-Season","Defender","England","Everton","Manchester City","Sold",55500000,"EPL","16/17"
"Eliaquim Mangala","Pre-Season","Defender","France","Porto","Manchester City","Sold",54000000,"EPL","14/15"
"Andre Gomes","Pre-Season","Midfielder","Portugal","Valencia","Barcelona","Sold",50000000,"La Liga","16/17"
"Mesut Ozil","Pre-Season","Midfielder","Germany","Real Madrid","Arsenal","Sold",50000000,"EPL","13/14"
"David Luiz","Pre-Season","Defender","Brazil","Chelsea","PSG","Sold",49000000,"ROE","14/15"
"Anthony Martial","Pre-Season","Attacker","France","Monaco","Manchester United","Sold",49000000,"EPL","15/16"
"Christian Benteke","Pre-Season","Attacker","Belgium","Aston Villa","Liverpool","Sold",46500000,"EPL","15/16"
"James Rodriguez","Pre-Season","Midfielder","Colombia","Porto","Monaco","Sold",45000000,"ROE","13/14"
"Lucas Moura","Mid-Season","Attacker","Brazil","Sao Paulo","PSG","Sold",45000000,"ROE","12/13"
"Granit Xhaka","Pre-Season","Midfielder","Switzerland","Bor. Mgladbach","Arsenal","Sold",45000000,"EPL","16/17"
"Leroy Sane","Pre-Season","Midfielder","Germany","Schalke","Manchester City","Sold",45000000,"EPL","16/17"
"Nicolas Otamendi","Pre-Season","Defender","Argentina","Valencia","Manchester City","Sold",45000000,"EPL","15/16"
"Sergio Aguero","Pre-Season","Attacker","Argentina","Atletico Madrid","Manchester City","Sold",45000000,"EPL","11/12"
"Juan Mata","Mid-Season",NA,"Spain","Chelsea","Manchester United","Sold",44700000,"EPL","13/14"
"Alexis Sanchez","Pre-Season","Attacker","Chile","Barcelona","Arsenal","Sold",44000000,"EPL","14/15"
"Thiago Silva","Pre-Season","Defender","Brazil","AC Milan","PSG","Sold",42000000,"ROE","12/13"
"Andy Carroll","Mid-Season",NA,"England","Newcastle","Liverpool","Sold",41000000,"EPL","10/11"
"Karim Benzema","Pre-Season",NA,NA,"Lyon","Real Madrid","Sold",41000000,"La Liga","09/10"
"Shkodran Mustafi","Pre-Season","Defender","Germany","Valencia","Arsenal","Sold",41000000,"EPL","16/17"
"Sadio Mane","Pre-Season","Attacker","Senegal","Southampton","Liverpool","Sold",41000000,"EPL","16/17"
"Roberto Firmino","Pre-Season","Attacker","Brazil","Hoffenheim","Liverpool","Sold",41000000,"EPL","15/16"
"Hulk","Pre-Season","Attacker","Brazil","Porto","Zenit","Sold",40000000,"ROE","12/13"
"Axel Witsel","Pre-Season","Midfielder","Belgium","Benfica","Zenit","Sold",40000000,"ROE","12/13"
"Javier Pastore","Pre-Season","Attacker","Argentina","Palermo","PSG","Sold",40000000,"ROE","11/12"
"Javi Martinez","Pre-Season","Midfielder","Spain","Athletic Bilbao","Bayern Munich","Sold",40000000,"Bundesliga","12/13"
"Geoffrey Kondogbia","Pre-Season","Midfielder","France","Monaco","Inter Milan","Sold",40000000,"Serie A","15/16"
"Joao Mario","Pre-Season","Midfielder","Portugal","Sporting","Inter Milan","Sold",40000000,"Serie A","16/17"
"Radamel Falcao","Pre-Season","Attacker","Colombia","Porto","Atletico Madrid","Sold",40000000,"La Liga","11/12"
"David Villa","Pre-Season","Attacker","Spain","Valencia","Barcelona","Sold",40000000,"La Liga","10/11"
"Diego Costa","Pre-Season","Attacker","Spain","Atletico Madrid","Chelsea","Sold",40000000,"EPL","14/15"
"Michy Batshuayi","Pre-Season","Attacker","Belgium","Marseille","Chelsea","Sold",40000000,"EPL","16/17"
"David Luiz","Pre-Season","Defender","Brazil","PSG","Chelsea","Sold",40000000,"EPL","16/17"
"Fernandinho","Pre-Season","Midfielder","Brazil","Shakhtar Donetsk","Manchester City","Sold",40000000,"EPL","13/14"
"Eden Hazard","Pre-Season","Attacker","Belgium","Lille","Chelsea","Sold",40000000,"EPL","12/13"
"Cesc Fabregas","Pre-Season","Midfielder","Spain","Arsenal","Barcelona","Sold",39700000,"La Liga","11/12"
"Eric Bailly","Pre-Season","Defender","Ivory Coast","Villarreal","Manchester United","Sold",38300000,"EPL","16/17"
"Mats Hummels","Pre-Season","Defender","Germany","Bor. Dortmund","Bayern Munich","Sold",38000000,"Bundesliga","16/17"
"Asier Illarramendi","Pre-Season","Midfielder","Spain","Real Sociedad","Real Madrid","Sold",38000000,"La Liga","13/14"
"Arturo Vidal","Pre-Season","Midfielder","Chile","Juventus","Bayern Munich","Sold",37000000,"Bundesliga","15/16"
"Mario Gotze","Pre-Season","Midfielder","Germany","Bor. Dortmund","Bayern Munich","Sold",37000000,"Bundesliga","13/14"
"Gonzalo Higuain","Pre-Season","Attacker","Argentina","Real Madrid","Napoli","Sold",37000000,"Serie A","13/14"
"A. Robben","Pre-Season",NA,NA,"Chelsea","Real Madrid","Sold",36200000,"La Liga","07/08"
"Arkadiusz Milik","Pre-Season","Attacker","Poland","Ajax","Napoli","Sold",36000000,"Serie A","16/17"
"Cesc Fabregas","Pre-Season","Midfielder","Spain","Barcelona","Chelsea","Sold",36000000,"EPL","14/15"
"Wilfried Bony","Mid-Season",NA,"Ivory Coast","Swansea","Manchester City","Sold",36000000,"EPL","14/15"
"Ander Herrera","Pre-Season","Midfielder","Spain","Athletic Bilbao","Manchester United","Sold",36000000,"EPL","14/15"
"N'Golo Kante","Pre-Season","Midfielder","France","Leicester","Chelsea","Sold",36000000,"EPL","16/17"
"Xabi Alonso","Pre-Season",NA,NA,"Liverpool","Real Madrid","Sold",35400000,"La Liga","09/10"
"Romelu Lukaku","Pre-Season","Attacker","Belgium","Chelsea","Everton","Sold",35300000,"EPL","14/15"
"Willian","Mid-Season","Midfielder","Brazil","Shakhtar Donetsk","Anzhi","Sold",35000000,"ROE","12/13"
"Julian Draxler","Pre-Season","Midfielder","Germany","Schalke","Wolfsburg","Sold",35000000,"Bundesliga","15/16"
"Renato Sanches","Pre-Season","Midfielder","Portugal","Benfica","Bayern Munich","Sold",35000000,"Bundesliga","16/17"
"Jackson Martinez","Pre-Season","Attacker","Colombia","Porto","Atletico Madrid","Sold",35000000,"La Liga","15/16"
"Arda Turan","Pre-Season","Midfielder","Turkey","Atletico Madrid","Barcelona","Sold",35000000,"La Liga","15/16"
"Moussa Sissoko","Pre-Season","Midfielder","France","Newcastle","Tottenham","Sold",35000000,"EPL","16/17"
"Morgan Schneiderlin","Pre-Season","Midfielder","France","Southampton","Manchester United","Sold",35000000,"EPL","15/16"
"Willian","Pre-Season","Midfielder","Brazil","Anzhi","Chelsea","Sold",35000000,"EPL","13/14"
"Kevin Gameiro","Pre-Season","Attacker","France","Sevilla","Atletico Madrid","Sold",34000000,"La Liga","16/17"
"Luka Modric","Pre-Season","Midfielder","Croatia","Tottenham","Real Madrid","Sold",34000000,"La Liga","12/13"
"Luke Shaw","Pre-Season","Defender","England","Southampton","Manchester United","Sold",34000000,"EPL","14/15"
"Islam Slimani","Pre-Season","Attacker","Algeria","Sporting CP","Leicester","Sold",34000000,"EPL","16/17"
"Memphis Depay","Pre-Season","Attacker","Netherlands","PSV","Manchester United","Sold",34000000,"EPL","15/16"
"Edin Dzeko","Mid-Season",NA,"Bosnia","Wolfsburg","Manchester City","Sold",32500000,"EPL","10/11"
"Andre Schurrle","Mid-Season","Attacker","Germany","Chelsea","Wolfsburg","Sold",32000000,"Bundesliga","14/15"
"Paulo Dybala","Pre-Season","Attacker","Argentina","Palermo","Juventus","Sold",32000000,"Serie A","15/16"
"Daniel Alves","Pre-Season",NA,NA,"Sevilla","Barcelona","Sold",32000000,"La Liga","08/09"
"Gabriel Jesus","Pre-Season","Midfielder","Brazil","Palmeiras","Manchester City","Sold",32000000,"EPL","16/17"
"Marouane Fellaini","Pre-Season","Midfielder","Belgium","Everton","Manchester United","Sold",32000000,"EPL","13/14"
"Oscar","Pre-Season","Midfielder","Brazil","Internacional","Chelsea","Sold",32000000,"EPL","12/13"
"Danilo","Pre-Season","Defender","Brazil","Porto","Real Madrid","Sold",31500000,"La Liga","15/16"
"Marquinhos","Pre-Season","Defender","Brazil","Roma","PSG","Sold",31400000,"ROE","13/14"
"Juan Cuadrado","Mid-Season",NA,"Colombia","Fiorentina","Chelsea","Sold",31000000,"EPL","14/15"
"Adam Lallana","Pre-Season","Midfielder","England","Southampton","Liverpool","Sold",31000000,"EPL","14/15"
"Christian Benteke","Pre-Season","Attacker","Belgium","Liverpool","Crystal Palace","Sold",31000000,"EPL","16/17"
"Miralem Pjanic","Pre-Season","Midfielder","Bosnia","Roma","Juventus","Sold",30400000,"Serie A","16/17"
"Grzegorz Krychowiak","Pre-Season","Midfielder","Poland","Sevilla","PSG","Sold",30000000,"ROE","16/17"
"Ezequiel Lavezzi","Pre-Season","Attacker","Argentina","Napoli","PSG","Sold",30000000,"ROE","12/13"
"Mario Gomez","Pre-Season",NA,NA,"Stuttgart","Bayern Munich","Sold",30000000,"Bundesliga","09/10"
"Douglas Costa","Pre-Season","Midfielder","Brazil","Shakhtar Donetsk","Bayern Munich","Sold",30000000,"Bundesliga","15/16"
"Andre Schurrle","Pre-Season","Attacker","Germany","Wolfsburg","Bor. Dortmund","Sold",30000000,"Bundesliga","16/17"
"Mehdi Benatia","Pre-Season","Defender","Morocco","Roma","Bayern Munich","Sold",30000000,"Bundesliga","14/15"
"Carlos Bacca","Pre-Season","Attacker","Colombia","Sevilla","AC Milan","Sold",30000000,"Serie A","15/16"
"Mateo Kovacic","Pre-Season","Midfielder","Croatia","Inter Milan","Real Madrid","Sold",30000000,"La Liga","15/16"
"Alvaro Negredo","Pre-Season","Attacker","Spain","Manchester City","Valencia","Sold",30000000,"La Liga","15/16"
"Aymen Abdennour","Pre-Season","Defender","Tunisia","Monaco","Valencia","Sold",30000000,"La Liga","15/16"
"Paco Alcacer","Pre-Season","Attacker","Spain","Valencia","Barcelona","Sold",30000000,"La Liga","16/17"
"Alvaro Morata","Pre-Season","Attacker","Spain","Juventus","Real Madrid","Sold",30000000,"La Liga","16/17"
"Antoine Griezmann","Pre-Season","Attacker","France","Real Sociedad","Atletico Madrid","Sold",30000000,"La Liga","14/15"
"Toni Kroos","Pre-Season","Midfielder","Germany","Bayern Munich","Real Madrid","Sold",30000000,"La Liga","14/15"
"Fabio Coentrao","Pre-Season","Defender","Portugal","Benfica","Real Madrid","Sold",30000000,"La Liga","11/12"
"Yannick Bolasie","Pre-Season","Midfielder","DR Congo","Crystal Palace","Everton","Sold",30000000,"EPL","16/17"
"Georginio Wijnaldum","Pre-Season","Midfielder","Netherlands","Newcastle","Liverpool","Sold",30000000,"EPL","16/17"
"Henrikh Mkhitaryan","Pre-Season","Midfielder","Armenia","Bor. Dortmund","Manchester United","Sold",30000000,"EPL","16/17"
"Heung-Min Son","Pre-Season","Attacker","South Korea","Bayer Leverkusen","Tottenham","Sold",30000000,"EPL","15/16"
"Roberto Soldado","Pre-Season","Attacker","Spain","Valencia","Tottenham","Sold",30000000,"EPL","13/14"
"Erik Lamela","Pre-Season","Attacker","Argentina","Roma","Tottenham","Sold",30000000,"EPL","13/14"
"Robin van Persie","Pre-Season","Attacker","Netherlands","Arsenal","Manchester United","Sold",30000000,"EPL","12/13"
"Yaya Toure","Pre-Season","Midfielder","Ivory Coast","Barcelona","Manchester City","Sold",30000000,"EPL","10/11"
"Carloz Tevez","Pre-Season",NA,NA,"MSI (rights)","Manchester City","Sold",29200000,"EPL","09/10"
"David Silva","Pre-Season","Midfielder","Spain","Valencia","Manchester City","Sold",29000000,"EPL","10/11"
"Mario Balotelli","Pre-Season","Attacker","Italy","Inter Milan","Manchester City","Sold",29000000,"EPL","10/11"
"Pepe","Pre-Season",NA,NA,"Porto","Real Madrid","Sold",28000000,"La Liga","07/08"
"Gabriel Barbosa","Pre-Season","Attacker","Brazil","Santos","Inter Milan","Sold",28000000,"Serie A","16/17"
"Henrikh Mkhitaryan","Pre-Season","Midfielder","Armenia","Shakhtar Donetsk","Bor. Dortmund","Sold",27500000,"Bundesliga","13/14"
"Joleon Lescott","Pre-Season",NA,NA,"Everton","Manchester City","Sold",27500000,"EPL","09/10"
"W. Sneijder","Pre-Season",NA,NA,"Ajax","Real Madrid","Sold",27000000,"La Liga","07/08"
"Isco","Pre-Season","Midfielder","Spain","Malaga","Real Madrid","Sold",27000000,"La Liga","13/14"
"Klaas-Jan Huntelaar","Mid-Season",NA,NA,"Ajax","Real Madrid","Sold",27000000,"La Liga","08/09"
"Marcos Alonso","Pre-Season","Defender","Spain","Fiorentina","Chelsea","Sold",27000000,"EPL","16/17"
"Pedro Rodriguez","Pre-Season","Attacker","Spain","Barcelona","Chelsea","Sold",27000000,"EPL","15/16"
"Juan Mata","Pre-Season","Midfielder","Spain","Valencia","Chelsea","Sold",27000000,"EPL","11/12"
"Baba Rahman","Pre-Season","Defender","Ghana","Augsburg","Chelsea","Sold",26800000,"EPL","15/16"
"Luis Suarez","Mid-Season",NA,"Uruguay","Ajax","Liverpool","Sold",26500000,"EPL","10/11"
"Mario Gotze","Pre-Season","Attacker","Germany","Bayern Munich","Bor. Dortmund","Sold",26000000,"Bundesliga","16/17"
"Alex Sandro","Pre-Season","Defender","Brazil","Porto","Juventus","Sold",26000000,"Serie A","15/16"
"Alexis Sanchez","Pre-Season","Attacker","Chile","Udinese","Barcelona","Sold",26000000,"La Liga","11/12"
"Samir Nasri","Pre-Season","Midfielder","France","Arsenal","Manchester City","Sold",26000000,"EPL","11/12"
"Ilkay Gundogan","Pre-Season","Midfielder","Germany","Bor. Dortmund","Manchester City","Sold",25800000,"EPL","16/17"
"Stevan Jovetic","Pre-Season","Attacker","Montenegro","Fiorentina","Manchester City","Sold",25500000,"EPL","13/14"
"Dejan Lovren","Pre-Season","Defender","Croatia","Southampton","Liverpool","Sold",25300000,"EPL","14/15"
"Jese Rodriguez","Pre-Season","Attacker","Spain","Real Madrid","PSG","Sold",25000000,"ROE","16/17"
"Joao Moutinho","Pre-Season","Midfielder","Portugal","Porto","Monaco","Sold",25000000,"ROE","13/14"
"Bernard","Pre-Season","Midfielder","Brazil","Atletico Mineiro","Shakhtar Donetsk","Sold",25000000,"ROE","13/14"
"Samuel Etoo","Pre-Season","Attacker","Cameroon","Inter Milan","Anzhi","Sold",25000000,"ROE","11/12"
"Arjen Robben","Pre-Season",NA,NA,"Real Madrid","Bayern Munich","Sold",25000000,"Bundesliga","09/10"
"Thiago Alcantara","Pre-Season","Midfielder","Spain","Barcelona","Bayern Munich","Sold",25000000,"Bundesliga","13/14"
"Alessio Romagnoli","Pre-Season","Defender","Italy","Roma","AC Milan","Sold",25000000,"Serie A","15/16"
"Samuel Umtiti","Pre-Season","Defender","France","Lyon","Barcelona","Sold",25000000,"La Liga","16/17"
"Enzo Perez","Mid-Season","Midfielder","Argentina","Benfica","Valencia","Sold",25000000,"La Liga","14/15"
"Angel Di Maria","Pre-Season","Midfielder","Argentina","Benfica","Real Madrid","Sold",25000000,"La Liga","10/11"
"Dymytro Chygrynsky","Pre-Season",NA,NA,"Shakhtar Donestsk","Barcelona","Sold",25000000,"La Liga","09/10"
"Lazar Markovic","Pre-Season","Attacker","Serbia","Benfica","Liverpool","Sold",25000000,"EPL","14/15"
"Nemanja Matic","Mid-Season",NA,"Serbia","Benfica","Chelsea","Sold",25000000,"EPL","13/14"
"David Luiz","Mid-Season",NA,"Brazil","Benfica","Chelsea","Sold",25000000,"EPL","10/11"
"Diego","Pre-Season",NA,NA,"Werder Bremen","Juventus","Sold",24500000,"Serie A","09/10"
"Lisandro Lopez","Pre-Season",NA,NA,"Porto","Lyon","Sold",24000000,"ROE","09/10"
"Andre Ayew","Pre-Season","Attacker","Ghana","Swansea","West Ham","Sold",24000000,"EPL","16/17"
"Gianelli Imbula","Mid-Season",NA,"France","Porto","Stoke","Sold",24000000,"EPL","15/16"
"T. Henry","Pre-Season",NA,NA,"Arsenal","Barcelona","Sold",23800000,"La Liga","07/08"
"Alberto Aquilani","Pre-Season",NA,NA,"Roma","Liverpool","Sold",23300000,"EPL","09/10"
"Layvin Kurzawa","Pre-Season","Defender","France","Monaco","PSG","Sold",23000000,"ROE","15/16"
"Yohan Cabaye","Mid-Season","Midfielder","France","Newcastle","PSG","Sold",23000000,"ROE","13/14"
"Marko Pjaca","Pre-Season","Midfielder","Croatia","Dinamo Zagreb","Juventus","Sold",23000000,"Serie A","16/17"
"Alvaro Negredo","Pre-Season","Attacker","Spain","Sevilla","Manchester City","Sold",23000000,"EPL","13/14"
"Amauri","Pre-Season",NA,NA,"Palermo","Juventus","Sold",22700000,"Serie A","08/09"
"Stewart Downing","Pre-Season","Midfielder","England","Aston Villa","Liverpool","Sold",22500000,"EPL","11/12"
"Jordan Henderson","Pre-Season","Midfielder","England","Sunderland","Liverpool","Sold",22500000,"EPL","11/12"
"G. Milito","Pre-Season",NA,NA,"Real Zaragoza","Barcelona","Sold",22400000,"La Liga","07/08"
"Yoann Gourcuff","Pre-Season","Midfielder","France","Lyon","Bordeaux","Sold",22000000,"ROE","10/11"
"Bruno Alves","Pre-Season","Defender","Portugal","FC Porto","Zenit S-P","Sold",22000000,"ROE","10/11"
"Mohamed Salah","Pre-Season","Midfielder","Egypt","Chelsea","Roma","Sold",22000000,"Serie A","15/16"
"Antonio Candreva","Pre-Season","Midfielder","Italy","Lazio","Inter Milan","Sold",22000000,"Serie A","16/17"
"Juan Iturbe","Pre-Season","Attacker","Argentina","Verona","Roma","Sold",22000000,"Serie A","14/15"
"Mario Balotelli","Mid-Season","Attacker","Italy","Manchester City","AC Milan","Sold",22000000,"Serie A","12/13"
"Mario Mandzukic","Pre-Season","Attacker","Croatia","Bayern Munich","Atletico Madrid","Sold",22000000,"La Liga","14/15"
"Darren Bent","Mid-Season",NA,"England","Sunderland","Aston Villa","Sold",21500000,"EPL","10/11"
"Glen Johnson","Pre-Season",NA,NA,"Portsmouth","Liverpool","Sold",21500000,"EPL","09/10"
"Filipe Luis","Pre-Season","Defender","Brazil","Chelsea","Atletico Madrid","Sold",21200000,"La Liga","15/16"
"Roque Santa Cruz","Pre-Season",NA,NA,"Blackburn","Manchester City","Sold",21200000,"EPL","09/10"
"D. Forlan","Pre-Season",NA,NA,"Villarreal","Atletico Madrid","Sold",21000000,"La Liga","07/08"
"Mauro Zárate","Pre-Season",NA,NA,"Al Sadd","Lazio","Sold",21000000,"Serie A","09/10"
"Ronaldinho","Pre-Season",NA,NA,"FC Barcelona","AC Milan","Sold",21000000,"Serie A","08/09"
"Lassana Diarra","Mid-Season",NA,NA,"Portsmouth","Real Madrid","Sold",20800000,"La Liga","08/09"
"Felipe Melo","Pre-Season",NA,NA,"Fiorentina","Juventus","Sold",20500000,"Serie A","09/10"
"Vincent Janssen","Pre-Season","Attacker","Netherlands","AZ Alkmaar","Tottenham","Sold",20500000,"EPL","16/17"
"S. Sabrosa","Pre-Season",NA,NA,"Benfica","Atletico Madrid","Sold",20000000,"La Liga","07/08"
"Simao","Pre-Season",NA,NA,"Benfica","Atletico Madrid","Sold",20000000,"La Liga","07/08"
"Zigic","Pre-Season",NA,NA,"Santander","Valencia","Sold",20000000,"La Liga","07/08"
"Gianelli Imbula","Pre-Season","Midfielder","France","Marseille","Porto","Sold",20000000,"ROE","15/16"
"Geoffrey Kondogbia","Pre-Season","Midfielder","France","Sevilla","Monaco","Sold",20000000,"ROE","13/14"
"Zlatan Ibrahimovic","Pre-Season","Attacker","Sweden","AC Milan","PSG","Sold",20000000,"ROE","12/13"
"Kevin Volland","Pre-Season","Attacker","Germany","Hoffenheim","Bayer Leverkusen","Sold",20000000,"Bundesliga","16/17"
"Breel Embolo","Pre-Season","Attacker","Switzerland","Basel","Schalke","Sold",20000000,"Bundesliga","16/17"
"Andrea Bertolacci","Pre-Season","Midfielder","Italy","Roma","AC Milan","Sold",20000000,"Serie A","15/16"
"Alvaro Morata","Pre-Season","Attacker","Spain","Real Madrid","Juventus","Sold",20000000,"Serie A","14/15"
"Hernanes","Mid-Season","Midfielder","Brazil","Lazio","Inter Milan","Sold",20000000,"Serie A","13/14"
"Erik Lamela","Pre-Season","Midfielder","Argentina","River Plate","Roma","Sold",20000000,"Serie A","11/12"
"Luciano Vietto","Pre-Season","Attacker","Argentina","Villarreal","Atletico Madrid","Sold",20000000,"La Liga","15/16"
"Aleix Vidal","Pre-Season","Midfielder","Spain","Sevilla","Barcelona","Sold",20000000,"La Liga","15/16"
"Jeremy Mathieu","Pre-Season","Defender","France","Valencia","Barcelona","Sold",20000000,"La Liga","14/15"
"Javier Mascherano","Pre-Season","Midfielder","Argentina","Liverpool","Barcelona","Sold",20000000,"La Liga","10/11"
"Danny Welbeck","Pre-Season","Attacker","England","Manchester United","Arsenal","Sold",20000000,"EPL","14/15"
"Filipe Luis","Pre-Season","Defender","Brazil","Atletico Madrid","Chelsea","Sold",20000000,"EPL","14/15"
"Mario Balotelli","Pre-Season","Attacker","Italy","AC Milan","Liverpool","Sold",20000000,"EPL","14/15"
"Marcos Rojo","Pre-Season","Defender","Argentina","Sporting Lisbon","Manchester United","Sold",20000000,"EPL","14/15"
"Lucas Perez","Pre-Season","Attacker","Spain","Dep. La Coruna","Arsenal","Sold",20000000,"EPL","16/17"
"Sofiane Boufal","Pre-Season","Midfielder","Morocco","Lille","Southampton","Sold",20000000,"EPL","16/17"
"Georginio Wijnaldum","Pre-Season","Midfielder","Netherlands","PSV","Newcastle","Sold",20000000,"EPL","15/16"
"Paulinho","Pre-Season","Midfielder","Brazil","Corinthians","Tottenham","Sold",20000000,"EPL","13/14"
"Santi Cazorla","Pre-Season","Midfielder","Spain","Malaga","Arsenal","Sold",20000000,"EPL","12/13"
"Javi Garcia","Pre-Season","Midfielder","Spain","Benfica","Manchester City","Sold",20000000,"EPL","12/13"
"Romelu Lukaku","Pre-Season","Attacker","Belgium","Anderlecht","Chelsea","Sold",20000000,"EPL","11/12"
"Ramires","Pre-Season","Midfielder","Brazil","Benfica","Chelsea","Sold",20000000,"EPL","10/11"
"Aleksandar Kolarov","Pre-Season","Defender","Serbia","Lazio","Manchester City","Sold",20000000,"EPL","10/11"
"Yuri Zhirkov","Pre-Season",NA,NA,"CSKA Moscow","Chelsea","Sold",20000000,"EPL","09/10"
"James Milner","Pre-Season","Midfielder","England","Aston Villa","Manchester City","Sold",19500000,"EPL","10/11"
"Aleksandr Kokorin","Pre-Season","Attacker","Russia","Dinamo Moscow","Anzhi","Sold",19000000,"ROE","13/14"
"Ciro Immobile","Pre-Season","Attacker","Italy","Torino","Bor. Dortmund","Sold",19000000,"Bundesliga","14/15"
"Mario Mandzukic","Pre-Season","Attacker","Croatia","Atletico Madrid","Juventus","Sold",19000000,"Serie A","15/16"
"Thomas Vermaelen","Pre-Season","Defender","Belgium","Arsenal","Barcelona","Sold",19000000,"La Liga","14/15"
"Ivan Rakitic","Pre-Season","Midfielder","Croatia","Sevilla","Barcelona","Sold",19000000,"La Liga","14/15"
"Alex Song","Pre-Season","Midfielder","Cameroon","Arsenal","Barcelona","Sold",19000000,"La Liga","12/13"
"Santi Cazorla","Pre-Season","Midfielder","Spain","Villarreal","Malaga","Sold",19000000,"La Liga","11/12"
"Mamadou Sakho","Pre-Season","Defender","France","PSG","Liverpool","Sold",19000000,"EPL","13/14"
"Joe Allen","Pre-Season","Midfielder","Wales","Swansea City","Liverpool","Sold",19000000,"EPL","12/13"
"Moussa Dembele","Pre-Season","Midfielder","Belgian","Fulham","Tottenham","Sold",19000000,"EPL","12/13"
"David de Gea","Pre-Season","Goalkeeper","Spain","Atletico Madrid","Manchester United","Sold",19000000,"EPL","11/12"
"Phil Jones","Pre-Season","Defender","England","Blackburn","Manchester United","Sold",18700000,"EPL","11/12"
"Kolo Toure","Pre-Season",NA,NA,"Arsenal","Manchester City","Sold",18700000,"EPL","09/10"
"Ricardo Quaresma","Pre-Season",NA,NA,"Porto","Inter Milan","Sold",18500000,"Serie A","08/09"
"Antonio Valencia","Pre-Season",NA,NA,"Wigan Athletic","Manchester United","Sold",18500000,"EPL","09/10"
"Salomon Rondon","Mid-Season","Attacker","Venezuela","Rubin Kazan","Zenit","Sold",18000000,"ROE","13/14"
"Michel Bastos","Pre-Season",NA,NA,"Lille","Lyon","Sold",18000000,"ROE","09/10"
"Aleksandar Dragovic","Pre-Season","Defender","Austria","Dynamo Kyev","Bayer Leverkusen","Sold",18000000,"Bundesliga","16/17"
"Ivan Perisic","Pre-Season","Midfielder","Croatia","Wolfsburg","Inter Milan","Sold",18000000,"Serie A","15/16"
"Simone Zaza","Pre-Season","Attacker","Italy","Sassuolo","Juventus","Sold",18000000,"Serie A","15/16"
"Pablo Osvaldo","Pre-Season","Attacker","Argentina","Espanyol","Roma","Sold",18000000,"Serie A","11/12"
"Robinho","Pre-Season","Attacker","Brazil","Manchester City","AC Milan","Sold",18000000,"Serie A","10/11"
"Sime Vrsaljko","Pre-Season","Defender","Croatia","Sassuolo","Atletico Madrid","Sold",18000000,"La Liga","16/17"
"Jordon Ibe","Pre-Season","Midfielder","England","Liverpool","Bournemouth","Sold",18000000,"EPL","16/17"
"Ahmed Musa","Pre-Season","Attacker","Nigeria","CSKA Moscow","Leicester","Sold",18000000,"EPL","16/17"
"Nolito","Pre-Season","Attacker","Spain","Celta","Manchester City","Sold",18000000,"EPL","16/17"
"Claudio Bravo","Pre-Season","Goalkeeper","Chile","Barcelona","Manchester City","Sold",18000000,"EPL","16/17"
"Borja Baston","Pre-Season","Attacker","Spain","Atletico Madrid","Swansea","Sold",18000000,"EPL","16/17"
"Oumar Niasse","Mid-Season",NA,"Senegal","Lokomotiv Moscow","Everton","Sold",18000000,"EPL","15/16"
"Matteo Darmian","Pre-Season","Defender","Italy","Torino","Manchester United","Sold",18000000,"EPL","15/16"
"Aleksandar Mitrovic","Pre-Season","Attacker","Serbia","Anderlecht","Newcastle","Sold",18000000,"EPL","15/16"
"Pablo Osvaldo","Pre-Season","Attacker","Italy","Roma","Southampton","Sold",18000000,"EPL","13/14"
